"","parcelid","logerror","transactiondate"
"80733",17277166,0.0109,"2016-09-29"
"80816",12525826,0.0109,"2016-09-29"
"80850",12824192,0.0109,"2016-09-29"
"80883",12996869,0.0109,"2016-09-30"
"80964",11107783,0.0109,"2016-09-30"
"80982",11109745,0.0109,"2016-09-30"
"81058",12379490,0.0109,"2016-09-30"
"81105",11265570,0.0109,"2016-09-30"
"81261",11635397,0.0109,"2016-09-30"
"81283",10720158,0.0109,"2016-09-30"
"81415",10787669,0.0109,"2016-09-30"
"81421",11045865,0.0109,"2016-09-30"
"81574",14060406,0.0109,"2016-09-30"
"81633",17244417,0.0109,"2016-09-30"
"81724",12584901,0.0109,"2016-09-30"
"82034",12996281,0.0109,"2016-10-03"
"82047",14060375,0.0109,"2016-10-03"
"82061",12273451,0.0109,"2016-10-03"
"82080",14061395,0.0109,"2016-10-03"
"82082",14695561,0.0109,"2016-10-03"
"82119",11012745,0.0109,"2016-10-03"
"82143",12751197,0.0109,"2016-10-03"
"82358",12887753,0.0109,"2016-10-04"
"82590",14148031,0.0109,"2016-10-05"
"82746",17135743,0.0109,"2016-10-05"
"82843",11071017,0.0109,"2016-10-05"
"83937",17111342,0.0109,"2016-10-11"
"83984",14169181,0.0109,"2016-10-11"
"84089",14327502,0.0109,"2016-10-11"
"84142",14107914,0.0109,"2016-10-11"
"84182",17299061,0.0109,"2016-10-11"
"84551",14091618,0.0109,"2016-10-12"
"84580",14080835,0.0109,"2016-10-12"
"84587",11735276,0.0109,"2016-10-12"
"84732",12272505,0.0109,"2016-10-13"
"84888",12341270,0.0109,"2016-10-13"
"84946",14080896,0.0109,"2016-10-13"
"84982",14155743,0.0109,"2016-10-13"
"85042",13028814,0.0109,"2016-10-14"
"85130",11888238,0.0109,"2016-10-14"
"85200",14182904,0.0109,"2016-10-14"
"85202",11610980,0.0109,"2016-10-14"
"85221",11635367,0.0109,"2016-10-14"
"85223",11042060,0.0109,"2016-10-14"
"85261",12957995,0.0109,"2016-10-14"
"85323",12719278,0.0109,"2016-10-14"
"85390",14342735,0.0109,"2016-10-14"
"85589",10779768,0.0109,"2016-10-14"
"85759",10714373,0.0109,"2016-10-18"
"85804",14596861,0.0109,"2016-10-18"
"86006",11083470,0.0109,"2016-10-20"
"86015",12933621,0.0109,"2016-10-20"
"86024",14021488,0.0109,"2016-10-21"
"86102",11587340,0.0109,"2016-10-21"
