"","parcelid","logerror","transactiondate"
"7319",11617445,4.737,"2016-02-03"
"22477",12668867,4.52,"2016-04-05"
"22476",12668872,4.445,"2016-04-05"
"8613",11538524,3.968,"2016-02-10"
"87344",11743456,3.443,"2016-11-10"
"69179",11068104,3.436,"2016-08-24"
"10703",12702944,3.403,"2016-02-22"
"38587",14144267,3.289,"2016-05-25"
"54845",11780703,3.25,"2016-07-12"
"62295",12659338,3.174,"2016-08-02"
"60644",11427085,3.16,"2016-07-28"
"13426",12005331,3.115,"2016-03-02"
"60334",11580829,3.082,"2016-07-28"
"2654",17153914,3.018,"2016-01-14"
"17061",12847511,2.987,"2016-03-17"
"18924",11620674,2.953,"2016-03-24"
"7638",11800552,2.926,"2016-02-04"
"7375",12837163,2.809,"2016-02-03"
"72263",11080902,2.762,"2016-09-01"
"77603",11707866,2.758,"2016-09-20"
"4884",12224786,2.745,"2016-01-25"
"13640",10823519,2.623,"2016-03-03"
"10152",11951725,2.56,"2016-02-18"
"71652",12526165,2.552,"2016-08-31"
"63516",12275789,2.548,"2016-08-05"
"12177",11524235,2.544,"2016-02-26"
"3535",17278738,2.489,"2016-01-20"
"41690",12659466,2.485,"2016-06-02"
"17162",11688847,2.457,"2016-03-17"
"54729",12557110,2.454,"2016-07-12"
