"","parcelid","logerror","transactiondate"
"6417",12728547,-4.605,"2016-01-29"
"69229",17257462,-4.605,"2016-08-24"
"88789",11557016,-4.51,"2016-12-05"
"2080",10931889,-3.194,"2016-01-12"
"6689",13895495,-2.976,"2016-02-01"
"53883",11633947,-2.688,"2016-07-08"
"65597",14413432,-2.397,"2016-08-12"
"23512",11563783,-2.375,"2016-04-07"
"13448",12943054,-2.365,"2016-03-02"
"43990",14484884,-2.365,"2016-06-09"
"13532",11046267,-2.354,"2016-03-02"
"41585",13989753,-2.354,"2016-06-02"
"65073",14717914,-2.354,"2016-08-11"
"3372",11320030,-2.333,"2016-01-19"
"59647",14129142,-2.333,"2016-07-26"
"36977",14599759,-2.323,"2016-05-19"
"45570",14426239,-2.323,"2016-06-15"
"58437",11839942,-2.323,"2016-07-22"
"2594",14702099,-2.313,"2016-01-14"
"30075",13078609,-2.313,"2016-04-29"
"35692",14371673,-2.313,"2016-05-17"
"49443",11160146,-2.313,"2016-06-24"
"59698",14374510,-2.313,"2016-07-26"
"65477",14470669,-2.313,"2016-08-11"
"68206",12756684,-2.313,"2016-08-19"
"7243",17208430,-2.303,"2016-02-03"
"12550",14621147,-2.303,"2016-02-29"
"24194",14622050,-2.293,"2016-04-11"
"43707",14658122,-2.293,"2016-06-09"
"43889",14085461,-2.293,"2016-06-09"
